,Place of interest,Type of place,Place address,Place distrit,Place neighborhood,Place description,Place transport,Place latitude,Place longitude,mercator place,BiciMAD station,Station location,Station latitude,Station longitude,Station base availability,Station Bikes Availability,mercator station,Distance Between BiciMAD station and Place of interest
47,Parque Aluche - Poblados,Principales parques y jardines municipales,GUAREÑA,LATINA,LAS AGUILAS,"Parque muy céntrico del distrito que cuenta con mucha sombra, agradables zonas de descanso, praderas, fuentes, fútbol sala, zonas infantiles y petancas.","Metro: Aluche (linea 5) Bus: 17, 117, 139 Renfe: Aluche  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.38543450752234,-3.765190215590101,POINT (4495686.004842486 -419441.0559560188),Caramuel,Calle Caramuel nº 51,40.40913630273305,-3.728533714316331,disponible,14,POINT (4498324.476616229 -415351.7319152079),4866.631731659089
48,Parque Alzola,Principales parques y jardines municipales,BEASAIN,USERA,ORCASITAS,"Este parque se encuentra localizado entre la Avenida Rafaela Ybarra y la calle Guetaria, cuenta con praderas de césped y macizos arbustivos y en su parte lateral tiene una amplia zona terriza con arbolado. Las distintas partes del parque se encuentran comunicadas mediante un camino principal de adoquín que lo atraviesa de un extremo a otro. Cuenta en su parte central con una zona infantil cercana a una plaza estancial rodeada de rosales.","Bus: 60 , 131  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.36716919688689,-3.7136655626692887,POINT (4493652.719763367 -413693.120131652),Glorieta de Cádiz,Calle Antonio López nº 129,40.38895,-3.70017,disponible,7,POINT (4496077.347674986 -412187.6512511889),2853.98967409639
49,Parque Antonio Pirala,Principales parques y jardines municipales,ANTONIO PIRALA,CIUDAD LINEAL,VENTAS,"Este parque, cuyo diseño corrió a cargo de la arquitecta Myriam Silber Brodsky, fue galardonado en el año 1995 con el premio Alhambra de la Asociación española de Parques y Jardines Públicos. Está situado en las confluencias de la calle Alcalá con el Puente de Ventas y la M-30 y una plaza aledaña en C/ Santiago Massarnaú. Se divide en varias zonas claramente diferenciadas:  Una escalinata conformada por varios tramos con una fuente ornamental en uno de los lados, plantaciones en jardineras de ladrillo y árboles dispuestos en cuadrícula, cuyo entramado se encuentra rodeado de acequias y que desemboca en un área de juegos infantiles y mesas de ajedrez y una segunda fuente ornamental en forma de pirámide truncada escalonada, con parterres que disponen de numerosos bancos. Un área canina que da paso a varias pistas polideportivas rodeadas de plantaciones de diversas especies. Una pequeña zona forestal que finaliza en una pasarela.","Metro: Carmen, Ventas (linea 5 y linea 2) Bus: 38, 106, 110, 146, 210  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.428652595625735,-3.659649292346212,POINT (4500497.020403215 -407667.5870764026),Puente de Ventas,Avenida de Daroca nº 2,40.4311944,-3.6590555,disponible,7,POINT (4500779.972771854 -407601.3513700205),290.60146544467625
50,Parque Anunciación,Principales parques y jardines municipales,ANUNCIACION,RETIRO,NIÑO JESUS,Pequeño parque urbano con estancia de juegos infantiles. Destacan en él sus praderas y sus cedros de gran porte.,"Bus: 20, 26, 63.  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.41192841997151,-3.67583331713166,POINT (4498635.293685449 -409472.8820982375),Puerta del Pacífico ,Avenida de Menéndez Pelayo nº 73,40.4117627,-3.6766813,disponible,21,POINT (4498616.845822606 -409567.4737630706),96.37378637040688
51,Parque Arquitecto Antonio Palacios,Principales parques y jardines municipales,FENELON,SAN BLAS-CANILLEJAS,CANILLEJAS,"El diseño del parque se basa en círculos concéntricos alrededor de las dos zonas más elevadas. En los taludes de una de estas zonas se encuentran varias especies de Juniperus, mientras que los de la otra están tapizados por pradera. En cada círculo aparece una tipología diferente: terrizo, árboles y árboles con arbusto asociado. Dispone de una zona infantil rodeada de pinos de gran porte, destacando uno de ellos al que se le ha creado una jardinería para realzar su valor. En el parque Arquitecto Antonio Palacios hay una glorieta circular en cuyo centro se ubica una escultura de acero de tres piezas verticales.","Metro: Torre Arias (línea 5) Bus: 28, 48  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.43847239256322,-3.608750153308992,POINT (4501590.155197989 -401990.1036337115),Gutierre de Cetina,Calle Gutierre de Cetina nº 77,40.429706,-3.640994,disponible,18,POINT (4500614.284841758 -405586.6676448087),3726.606450658604
52,Parque Arroyo Fontarrón,Principales parques y jardines municipales,ARROYO FONTARRON,MORATALAZ,PAVONES,Zona verde periférica en talud que conecta los bordes de los barrios de Moratalaz con el lateral de la autovía A-3. Se diferencian dos zonas: una forestal y otra con plantaciones de árboles y arbustos ornamentales. El límite con la C/ Arroyo Fontarrón es un paseo arbolado terrizo con carril bici.,"Bus: 8, 20, 30, 100  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.39476596114844,-3.636164605181752,POINT (4496724.777508505 -405047.9759904367),Pavones,Calle Hacienda de Pavones nº 342,40.400368,-3.634587,disponible,8,POINT (4497348.393620864 -404872.003688147),647.968600139497
53,Parque Arroyo Fresno,Principales parques y jardines municipales,VENTISQUERO DE LA CONDESA,FUENCARRAL-EL PARDO,MIRASIERRA,Zona Verde que consta de una parte ajardinada con césped y arbolado joven y otra parte más forestal con una lámina de agua de gran tamaño. También limita el parque una franja del carril bici que circunda Madrid y es de gran uso vecinal.,"Bus: 49  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.49284296962057,-3.7169069720385446,POINT (4507642.66015015 -414054.7121061926),Pedro Rico,Calle Pedro Rico nº 4,40.481086,-3.688463,disponible,13,POINT (4506333.880278716 -410881.7202647889),3432.3143762606055
54,Parque Arroyo Pozuelo,Principales parques y jardines municipales,Arroyo Pozuelo,MONCLOA-ARAVACA,,"El proyecto de este parque se inició en el año 2001 su objeto fue recuperar y ajardinar estos terrenos de propiedad pública. Mediante ello se buscó conservar y  potenciar todos los elementos naturales existentes. Dentro de estos elementos cabe destacar el arroyo que divide longitudinalmente el parque y le da nombre. El proyecto se ha ejecutado en varías fases incluyendo todas ellas un carril bici que facilita la movilidad a lo largo de todo el parque:  FASE 1 _ PARQUE ARROYO POZUELO: esta fase se extiende desde la calle Cuesta de Galván que limita con la carretera de Castilla (M-500), hasta la Ctra. Húmera-Aravaca. Fue el inició de este proyecto en el año 2001. Es la zona más ajardinada con extensas praderas de césped y paseos acompañados de arbolado en su mayoría joven. Acoge varias zonas infantiles, pistas de petanca y pistas deportivas bajo una de las cuales existe un amplio estanque de tormentas para la recogida de aguas.  FASE 2_ AMPLIACIÓN PARQUE ARROYO POZUELO: segunda fase de ajardinamiento de la ribera del arroyo, que se empezó en los años 2007-2008, se divide en dos tramos principales:    TRAMO 1. Se sitúa entre la Ctra. Húmera-Aravaca y la calle Golondrina. En esta zona se encuentra el Campo de Fútbol Nuestra Señora del Buen Camino. El ajardinamiento se caracteriza por la presencia de masas de arbustos acompañados de árboles de gran porte, arbolado original de la zona verde y un entramado de caminos que conectan distintas zonas estanciales y áreas infantiles.     TRAMO 2. Entre la calle Golondrina y el límite con el pueblo de Pozuelo. Esta fase se desarrolló solo en la ribera norte del arroyo. En este caso, salvo una zona ajardinada alrededor de una fuente ornamental, el diseño es mucho más forestal con plantaciones de arbolado de diversas especies. También hay zonas infantiles y para mayores, zonas estanciales y pistas deportivas.   FASE 3_ PARQUE. ARROYO POZUELO (AMPLIACIÓN) 2: tercera fase actualmente en desarrollo (iniciada en 2015), entre la calle Golondrina y el límite con el pueblo de Pozuelo, en la ribera sur del arroyo. Diseño forestal con entramado de caminos y renovación del arbolado. En esta zona se encuentra la urbanización privada Colonia Santa Maria.","Transporte más próximo:  Autobús: 160  Otros trasportes cercanos:  Autobús: 161 Autobús interurbano: 658 Tren: Estación de Aravaca (Líneas C-7 y C-10) Metro-ligero/Tranvía: Estación de Aravaca (Línea 2)  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.45451429342977,-3.7856220495572703,POINT (4503375.931433809 -421720.4640379958),Facultad Derecho,Avenida Complutense nº 23,40.45109,-3.72937,disponible,5,POINT (4502994.74083288 -415445.0243226733),6287.006433501053
55,Parque Arroyo de los Pinos,Principales parques y jardines municipales,JOAQUIN LORENZO,FUENCARRAL-EL PARDO,PEÑA GRANDE,"Parque de reciente construcción con diferentes especies arbustivas, zonas de recreo y zona infantil.","Metro: Antonio Machado (linea 7) Bus: 132  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.47343735166941,-3.7241915440169024,POINT (4505482.436641297 -414867.3396361351),Facultad Derecho,Avenida Complutense nº 23,40.45109,-3.72937,disponible,5,POINT (4502994.74083288 -415445.0243226733),2553.8891973374602
56,Parque Avenida de Portugal,Principales parques y jardines municipales,A-5,LATINA,PUERTA DEL ANGEL,"El parque con un diseño de suelo de grandes flores en empedrado portugués de diferentes tonos y con floridos cerezos, en clara referencia a que esta carretera va hacia Extremadura. El adoquín es en forma de mosaico negro y beige recordando los suelos lisboetas    Este parque ha dado a la zona un nuevo enfoque, además de cambiar radicalmente todo su entorno, ya que está construido sobre el túnel de la A-5.","Bus: 25, 33, 31, 36, 39, 65, 138  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.41214880704316,-3.735662031240937,POINT (4498659.827062042 -416146.9389136668),Puerta del Ángel,Plaza Puerta del Ángel nº 4,40.413764,-3.728318,disponible,16,POINT (4498839.629519532 -415327.6677751078),838.7694094295738
57,Parque Azorín,Principales parques y jardines municipales,ALBUFERA,PUENTE DE VALLECAS,PALOMERAS BAJAS,"Este parque es el más emblemático y antiguo del distrito Puente de Vallecas, ya que data de los años 50. Se caracteriza por situarse en pendiente, a tres alturas: desde la zona destinada a uso infantil, la más baja, pasando por una zona de transición de paseos hasta la más alta, donde existe una lámina de agua y juego de mayores.   Este parque se creó tras la guerra civil  en terrenos cedidos por el militar Teniente Muñoz Díaz (que ahora lleva el nombre de una de las calles adyacentes).","Metro: Buenos Aires (línea 1) Bus: 10, 54, 58, 103, 136  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.39144717132174,-3.6545377410677498,POINT (4496355.331514946 -407097.4107201367),Sierra Toledana,Camino de Valderribas nº 94,40.39901531507069,-3.6607768678037744,disponible,10,POINT (4497197.81342333 -407793.364764792),1092.7615468281024
58,Parque Barrio Las Musas,Principales parques y jardines municipales,NIZA,SAN BLAS-CANILLEJAS,ROSAS,"Zona verde diseñada en dos alturas, separadas mediante una rampa. La zona más baja, con entrada por Avda de Niza, se compone de unos terrizos sobre los que se asientan dos áreas infantiles y dos alineaciones de árboles. El talud que separa las dos zonas está cubierto con diversas plantas aromáticas. La zona más elevada es un terrizo con arbolado disperso, cruzado por un camino de loseta hidráulica y que dispone de unos bancos corridos dispuestos de forma circular. Entre esta explanada y la C/ Julia García Boután aparecen una serie de paseos pavimentados rodeados de zonas de pradera, que a su vez están delimitadas por setos de aligustre, contando así mismo con arbolado consolidado de diferentes especies.","Metro: Las Musas (linea 7) Bus: 38, 140   Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.43173953068984,-3.607628369908832,POINT (4500840.656442663 -401864.9792482104),Gutierre de Cetina,Calle Gutierre de Cetina nº 77,40.429706,-3.640994,disponible,18,POINT (4500614.284841758 -405586.6676448087),3728.566564119551
59,Parque Begoña,Principales parques y jardines municipales,SAN MODESTO,FUENCARRAL-EL PARDO,VALVERDE,"Parque muy visible desde la M-30 con un gran talud de pradera. Tiene zonas infantiles a la salida del metro, lugares estanciales muy cómodos y campos de fútbol sala y baloncesto.","Bus: 125 y 135 RENFE: Ramón y Cajal  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.48390626699566,-3.687220746230517,POINT (4506647.830964574 -410743.1462610886),Pedro Rico,Calle Pedro Rico nº 4,40.481086,-3.688463,disponible,13,POINT (4506333.880278716 -410881.7202647889),343.17311615583486
60,Parque Biosaludable,Principales parques y jardines municipales,ALAMEDA DE OSUNA,BARAJAS,ALAMEDA DE OSUNA,"El Parque Biosaludable es el fruto de la recuperación ambiental de una zona de vertidos. Esta zona forestal está compuesta en su mayor parte por la especie de pino carrasco con ejemplares de olivo y alcornoque intercalados. Un bosque de encinas, plantado durante una actividad escolar, ocupa la zona más occidental del parque. Aunque la mayoría de los árboles son todavía jóvenes, también hay varios ejemplares de gran porte de pino piñonero. El parque está dotado de dos zonas con equipamientos deportivos y un carril bici que lo cruza uniendo el barrio de la Alameda de Osuna con el Parque Juan Carlos I. En este parque también se ubica un huerto urbano.","Metro: El Capricho (línea 5) Bus: 101, 114, 115 y 151  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.452057731817305,-3.603648361419777,POINT (4503102.468246007 -401421.0479875926),Gutierre de Cetina,Calle Gutierre de Cetina nº 77,40.429706,-3.640994,disponible,18,POINT (4500614.284841758 -405586.6676448087),4852.158672360813
61,Parque Campo de la Paloma,Principales parques y jardines municipales,RAFAEL ALBERTI,PUENTE DE VALLECAS,PALOMERAS SURESTE,"Zona verde de estilo francés, formada por una parte central, estancial, donde existe un templete, y rodeada por diversos parterres ajardinados. Las zonas que limitan con la calle 'Campo de la Paloma' están formadas por extensas praderas.",,40.38339946706653,-3.643762543356842,POINT (4495459.465175202 -405895.4842871541),Pavones,Calle Hacienda de Pavones nº 342,40.400368,-3.634587,disponible,8,POINT (4497348.393620864 -404872.003688147),2148.386187204918
62,Parque Caramuel,Principales parques y jardines municipales,CARAMUEL,LATINA,PUERTA DEL ANGEL,"El parque Caramuel fue inaugurado a primeros de 1979, surge sobre un antiguo pinar perteneciente a la finca del pintor Goya, La Quinta del Sordo.  Presenta una zona ajardinada consolidada, con praderas y arbolado de gran porte, que convive con amplias superficies de carácter forestal cubiertas fundamentalmente por pinos. Este parque está equipado con zonas deportivas, recorrido biosaludable, zonas infantiles, de mayores, zonas de descanso y un área canina. En 2017 se acometieron actuaciones de mejora entre las que destaca el acondicionamiento de la zona del mirador.","Bus: 138  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.4081704733386,-3.729395994595502,POINT (4498216.960979845 -415447.9241685421),Caramuel,Calle Caramuel nº 51,40.40913630273305,-3.728533714316331,disponible,14,POINT (4498324.476616229 -415351.7319152079),144.26559419517173
63,Parque Cerro Almodóvar,Principales parques y jardines municipales,MARCELINO CASTILLO,LATINA,ALUCHE,"Parque con una elevada cantidad de arbolado con gran representación de olmos y pino piñonero. Existen zonas de mayores y varias zonas infantiles, plazas de recreo...","Bus: 25, 31 y 138  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.393928614376,-3.744713323980896,POINT (4496631.564492179 -417156.6748406452),Caramuel,Calle Caramuel nº 51,40.40913630273305,-3.728533714316331,disponible,14,POINT (4498324.476616229 -415351.7319152079),2474.6253097875474
64,Parque Cerro Peñabel,Principales parques y jardines municipales,CANDIDO MATEOS,FUENCARRAL-EL PARDO,PEÑA GRANDE,Cuenta con una plataforma semicircular a modo de mirador y dos glorietas de juegos infantiles. En el centro del parque hay una rotonda bordeada de agua y taludes boscosos.,"Bus: 42, 132 y 137  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.47406043289477,-3.718181785566969,POINT (4505551.797726028 -414196.9229374706),Francos Rodríguez,Calle Francos Rodríguez nº 62,40.45673408797698,-3.708002730875242,disponible,2,POINT (4503623.037832471 -413061.4121393402),2238.1911222380018
65,Parque Cerro del Tío Pío,Principales parques y jardines municipales,BENJAMIN PALENCIA,PUENTE DE VALLECAS,NUMANCIA,"Parque dotado de alturas y pendientes, con extensas superficies de praderas y largas alineaciones de arbolado en los paseos. Dispone de equipamientos deportivos en su zona baja y de carril bici, kiosko y mirador en la zona alta.","Bus: 54, 141 y 143  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.39701982315709,-3.655239797848888,POINT (4496975.676279625 -407175.7226006613),Sierra Toledana,Camino de Valderribas nº 94,40.39901531507069,-3.6607768678037744,disponible,10,POINT (4497197.81342333 -407793.364764792),656.3739433626858
66,Parque Cerro Águila,Principales parques y jardines municipales,CERRO DEL AGUILA,MONCLOA-ARAVACA,ARAVACA,"Parque de carácter forestal, el cual destaca por su gran pinar homogéneo de pino piñonero y vegetación de bosque mediterráneo. Está atravesado en su mitad por el camino del cerro del Águila que va a desembocar al I.E.S.E. de la Universidad de Navarra. En su parte este está limitado por un campo de golf. Existen numerosas mesas para uso y disfrute de los vecinos, así como zonas de merenderos y carteles informativos de la fauna y flora del lugar.","Bus: 160  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.45190771190827,-3.761757187185669,POINT (4503085.768106125 -419058.0670724775),Facultad Derecho,Avenida Complutense nº 23,40.45109,-3.72937,disponible,5,POINT (4502994.74083288 -415445.0243226733),3614.1892419168717
67,Parque Ciudad de los Ángeles,Principales parques y jardines municipales,ANOETA,VILLAVERDE,LOS ANGELES,"Parque situado en el Barrio Ciudad de los Angeles, una zona con gran densidad de población. Situado en el espacio interior de la manzana formada entre las calles Anoeta, Alegría de la Huerta y La del Manojo de Rosas. Está estructurado en dos paseos centrales adoquinados con alineaciones de  castaños de indias que confluyen en un templete. El parque, formado por superficies de césped con diferentes macizos de arbustos, está dotado de una zona infantil, un parque para mayores y de varias pistas deportivas. Es un espacio utilizado por sus vecinos como lugar de reunión y para la celebración de diversas actividades colectivas.","Metro: Villaverde Bajo Cruce (linea 3) Bus: 18, 126 y 86  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.35285094988024,-3.6963807727286353,POINT (4492058.819797534 -411764.956163713),Glorieta de Cádiz,Calle Antonio López nº 129,40.38895,-3.70017,disponible,7,POINT (4496077.347674986 -412187.6512511889),4040.6976425901967
68,Parque Cuesta del Galbán,Principales parques y jardines municipales,GALBAN,MONCLOA-ARAVACA,ARAVACA,"Parque Forestal con pendiente media que separa la zona de la Rosa de Luxemburgo en dos partes marcadas. En él se encuentran vegetación típica del bosque mediterráneo: encinas, pinos, esparragueras, y algunos árboles de carácter colonizador. Es una zona de paso para los vecinos residentes ya que se observan sendas marcadas por el uso continuo.","Bus: 160  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.45019927443574,-3.768070614824996,POINT (4502895.58571663 -419762.3946566651),Facultad Derecho,Avenida Complutense nº 23,40.45109,-3.72937,disponible,5,POINT (4502994.74083288 -415445.0243226733),4318.508809521086
69,Parque Cuña Verde de Vicálvaro. Zona A,Principales parques y jardines municipales,DAROCA,VICALVARO,AMBROZ,"Parque periurbano situado en el extremo noroeste de Vicálvaro con amplias zonas caninas, pistas deportivas y de patinaje, zonas infantiles y un jardín para ciegos con numerosas especies arbustivas aromáticas etiquetadas en braille.","Metro: Vicálvaro (linea 9) Bus: E3  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.40969329689759,-3.618025439807104,POINT (4498386.480923 -403024.6805131166),Pavones,Calle Hacienda de Pavones nº 342,40.400368,-3.634587,disponible,8,POINT (4497348.393620864 -404872.003688147),2119.015847005565
70,Parque Cuña Verde de Vicálvaro. Zona B,Principales parques y jardines municipales,DAROCA,VICALVARO,AMBROZ,"Parque periurbano de transición entre las edificaciones de Vicálvaro y las autopistas periféricas M-40 y Radial 3. Dispone de zonas ajardinadas, arbolado, rosaleda, jardín de plantas aromáticas, praderas naturales y una lámina de agua. El parque está dotado de varias zonas deportivas, un auditorio, una zona infantil y de carril bici.","Metro: San Cipriano (linea 9) Bus: 4 , E3, 100  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.40930295868704,-3.616890442862423,POINT (4498343.028672164 -402898.0809879466),Pavones,Calle Hacienda de Pavones nº 342,40.400368,-3.634587,disponible,8,POINT (4497348.393620864 -404872.003688147),2210.355109850564
71,Parque Cuña Verde de Vicálvaro. Zona C,Principales parques y jardines municipales,CANILLEJAS A VICALVARO,VICALVARO,CASCO H.VICALVARO,Parque periurbano de tendencia forestal con amplias praderas y largos setos de espino de fuego. Un carril para ciclistas y peatones lo atraviesa conectando Canillejas y Vicálvaro por medio de pasarelas que cruzan la M - 40 y la Radial 3. Cuenta con aparcamiento propio.,"Metro: Avenida de Guadalajara (línea 2) Bus: E2  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.41672706688541,-3.610853061814312,POINT (4499169.4766164 -402224.66371143),Pavones,Calle Hacienda de Pavones nº 342,40.400368,-3.634587,disponible,8,POINT (4497348.393620864 -404872.003688147),3213.2152478408316
72,Parque Dehesa de la Villa,Principales parques y jardines municipales,DEHESA DE LA VILLA,MONCLOA-ARAVACA,CIUDAD UNIVERSITARIA,"La Dehesa de la Villa está situada al noroeste de la ciudad de Madrid, junto a Ciudad Universitaria. Su principal característica es que mantiene su condición de bosque, con espacios ajardinados en las zonas colindantes a los espacios urbanos, donde podemos destacar las plantaciones de cedros.    En tiempos de Isabel II se comenzó la repoblación con pinos, principalmente piñoneros y carrascos, actualmente los más comunes del parque. También hay almendros, sobre todo amargos, y acacias, habituales sobre todo cerca de la calle Francos Rodríguez. En las vaguadas húmedas aparecen chopos, fresnos y olmos. En las zonas ajardinadas se encuentran cedros y ciruelos de Pissardii. El sustrato arbustivo está principalmente compuesto por jaras, retamas, romero y zarzamoras, entre otras. La Dehesa de la Villa tiene una importante variedad de avifauna; se han avistado en ella más de 70 especies de aves, lo que la convierte en una joya dentro de todos los parques de Madrid. Los vecinos y usuarios la perciben como un auténtico bosque dentro de la ciudad.","Metro: Francos Rodriguez y Valdezarza (línea 7). Autobús: 44, 64, 82, 126, 127 y 132  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.45817981904011,-3.7207253118064822,POINT (4503783.975878242 -414480.66464258),Facultad Derecho,Avenida Complutense nº 23,40.45109,-3.72937,disponible,5,POINT (4502994.74083288 -415445.0243226733),1246.146680538658
73,Parque Duque de Ahumada,Principales parques y jardines municipales,LAGO VAN,VICALVARO,CASCO H.VICALVARO,Parque urbano interbloques situado en el Casco Histórico de Vicálvaro. Vertebrado longitudinalmente con paseos de adoquín que definen praderas. Alineaciones de pinos y plátanos.   Otras denominaciones  Parque de Ambroz,"Metro: San Cipriano (línea 9)  Bus: 4 , 106  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.4048457851104,-3.606231541415761,POINT (4497846.858379236 -401709.1763858841),Pavones,Calle Hacienda de Pavones nº 342,40.400368,-3.634587,disponible,8,POINT (4497348.393620864 -404872.003688147),3201.8656529091922
74,Parque El Calero,Principales parques y jardines municipales,JOSE DEL HIERRO,CIUDAD LINEAL,CONCEPCION,"Quizá se trate del parque más emblemático del Distrito de Ciudad Lineal, dada su ubicación, dimensiones, servicios y afluencia de ciudadanos. Es centro de reunión su auditorio al aire libre donde cada periodo estival se realizan actividades culturales.","Metro: Quintana y Carmen (línea 5) Bus: 21, 48 y 146  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.43555222953495,-3.6519351470803567,POINT (4501265.084136648 -406807.1013612264),Avenida Donostiarra,Calle Virgen de la Alegría nº 18,40.4351256,-3.6554918,disponible,13,POINT (4501217.591954061 -407203.8325390252),399.5636805873916
75,Parque El Cedral,Principales parques y jardines municipales,ARTURO SORIA,CIUDAD LINEAL,ATALAYA,"El parque El Cedral se encuentra situado en las confluencias de C/ Arturo Soria, C/ Rodríguez Illanes y C/ Asunción Pérez Vizcaíno. La entrada principal se encuentra enmarcada por un pórtico de ladrillo que continúa con un murete que rodea la parte localizada en la C/ Arturo Soria estando el lado interior del parque decorado por una arquería del mismo material. Un camino terrizo discurre por el parque con plantaciones de diversas especies a su alrededor con especial atención a las aromáticas y rodeando la zona donde se encuentran los cedros, de gran porte y belleza, que dan nombre al parque. Un monolito en homenaje a Arturo Soria se localiza en la zona inferior. El parque que presenta una gran pendiente hacia la Calle 30 y se encuentra equipado con una pista deportiva en la zona más cercana a la misma.","Bus: 7, 9, 70, 72 y 87  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.462882951414265,-3.665044100462656,POINT (4504307.526179266 -408269.3633094313),Pío XII,Avenida Pío XII nº 3,40.46041,-3.67712,disponible,11,POINT (4504032.238487074 -409616.4103570179),1374.8887452751026
76,Parque El Cruce,Principales parques y jardines municipales,ALCOCER,VILLAVERDE,LOS ANGELES,Jardín que discurre a lo largo de un paseo que cruza el mismo de norte a sur y alrededor del cual se generan diferentes superficies arbustivas y de rocalla bajo la protección de pinos y castaños de indias principalmente. El jardín se ensancha hacia el oeste manteniendo la estructura de terrizos y zonas arbustivas que albergan zonas estanciales e infantiles. Destacan las composiciones florales y de rocalla situadas en los flancos de la puerta norte del jardín.,"Metro: Villaverde Bajo - Cruce (línea 3) Autobús: 18, 22, 86, 116 y 130  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.35097040369239,-3.69448912432986,POINT (4491849.47835349 -411553.940073406),Glorieta de Cádiz,Calle Antonio López nº 129,40.38895,-3.70017,disponible,7,POINT (4496077.347674986 -412187.6512511889),4275.098695526928
77,Parque Emir Mohamed I,Principales parques y jardines municipales,RAMON,CENTRO,PALACIO,"Esta superficie era un solar que se acondicionó como parque en el año 2010. Recuperando el estilo andalusí, este parque se creó para recordar la diversidad de culturas que han vivido en la ciudad de Madrid. Existen diferentes especies arbóreas, un almez y una higuera son los ejemplares más antiguos. Las zonas verdes recorren la muralla islámica y los cipreses de los parterres continúan el diseño de la fuente con forma de estrella de seis puntas que preside el parque. Entre los años 860 y 880 el emir M&amp;uuml;hammad I fundó la ciudad de Madrid (Mayrit) como enclave militar. Los restos de la muralla islámica que pueden verse  en este parque pertenecen al primer recinto amurallado de Madrid, construido en el siglo IX durante el dominio andalusí de la región. Se conserva un tramo de la muralla de más de 120 metros de longitud, con una altura máxima de 11,50 metros y un espesor de 2,60 metros en el que destacan varios torreones de planta cuadrangular.","Bus: 3, 31 , 41 , 50 , 65  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.41438785232736,-3.7147888896558183,POINT (4498909.076442942 -413818.4315284376),Segovia 26,Calle Segovia nº 26,40.4138333,-3.7135833,disponible,8,POINT (4498847.343960243 -413683.9434243567),147.97955791068244
